(('1960', '01', '102190'), -6.945528455284552)
(('1960', '01', '103090'), -7.466666666666669)
(('1960', '01', '103410'), -8.983064516129033)
(('1960', '01', '105370'), -6.9720430107526905)
(('1960', '01', '106100'), -6.2870967741935475)
(('1960', '01', '107400'), -3.5279569892473126)
(('1960', '01', '107440'), -2.7747368421052627)
(('1960', '01', '108170'), -2.4559139784946242)
(('1960', '01', '108320'), -2.6129032258064515)
(('1960', '01', '108640'), -3.925806451612904)
(('1960', '01', '113410'), -11.513978494623657)
(('1960', '01', '114010'), -8.215053763440858)
(('1960', '01', '115230'), -7.907526881720431)
(('1960', '01', '116650'), -8.154838709677419)
(('1960', '01', '117160'), -6.036073059360729)
(('1960', '01', '117330'), -4.199999999999999)
(('1960', '01', '123480'), -11.955913978494623)
(('1960', '01', '124020'), -11.823387096774193)
(('1960', '01', '127310'), -8.82795698924731)
(('1960', '01', '127380'), -7.313978494623657)
(('1960', '01', '127600'), -4.453763440860216)
(('1960', '01', '132620'), -10.91720430107527)
(('1960', '01', '134110'), -9.435836177474412)
(('1960', '01', '135440'), -10.705376344086021)
(('1960', '01', '136420'), -13.21827956989248)
(('1960', '01', '136610'), -13.616129032258067)
(('1960', '01', '137030'), -10.659574468085099)
(('1960', '01', '139340'), -9.482795698924729)
(('1960', '01', '139540'), -12.812903225806458)
(('1960', '01', '140360'), -5.945161290322581)
(('1960', '01', '144300'), -12.4733870967742)
(('1960', '01', '145340'), -11.752127659574468)
(('1960', '01', '147100'), -14.366129032258073)
(('1960', '01', '147570'), -15.000000000000002)
(('1960', '01', '149160'), -13.812903225806448)
(('1960', '01', '150640'), -11.990361445783135)
(('1960', '01', '151290'), -8.174311926605505)
(('1960', '01', '155910'), -15.469892473118282)
(('1960', '01', '157720'), -15.203225806451611)
(('1960', '01', '158850'), -13.121505376344086)
(('1960', '01', '159970'), -16.615053763440862)
(('1960', '01', '160740'), -8.974193548387106)
(('1960', '01', '160790'), -16.83333333333334)
(('1960', '01', '161670'), -8.627659574468085)
(('1960', '01', '162860'), -13.834101382488479)
